name,country,year,month,year,host,subtype,accHA,accMP,accNA,accNP,accNS,accPA,accPB1,accPB2
>A/Aarhus/INS3_653/2011,Denmark,2011,1,25,Human,pH1N1,CY176570,CY176571,CY176572,CY176573,CY176574,CY176575,CY176576,CY176577
>A/Aarhus/INS3_654/2011,Denmark,2011,1,14,Human,pH1N1,CY176578,CY176579,CY176580,CY176581,CY176582,CY176583,CY176584,CY176585
>A/Aarhus/INS3_655/2011,Denmark,2011,2,7,Human,pH1N1,CY176586,CY176587,CY176588,CY176589,CY176590,CY176591,CY176592,CY176593
>A/Aarhus/INS609/2011,Denmark,2011,1,25,Human,pH1N1,CY129910,CY129911,CY129912,CY129913,CY129914,CY129915,CY129916,CY129917
>A/Aarhus/INS610/2011,Denmark,2011,1,21,Human,pH1N1,CY129918,CY129919,CY129920,CY129921,CY129922,CY129923,CY129924,CY129925
>A/Aarhus/INS612/2011,Denmark,2011,1,19,Human,pH1N1,CY129926,CY129927,CY129928,CY129929,CY129930,CY129931,CY129932,CY129933
>A/Aarhus/INS613/2011,Denmark,2011,1,20,Human,pH1N1,CY129934,CY129935,CY129936,CY129937,CY129938,CY129939,CY129940,CY129941
>A/Aarhus/INS615/2011,Denmark,2011,2,4,Human,pH1N1,CY129942,CY129943,CY129944,CY129945,CY129946,CY129947,CY129948,CY129949
>A/Arizona/01/2011,USA,2011,2,1,Human,pH1N1,KC881876,KC881966,KC881967,KC881968,KC881965,KC882122,KC881878,KC881879
>A/Athens/INS3_641/2011,Greece,2011,1,27,Human,pH1N1,CY176474,CY176475,CY176476,CY176477,CY176478,CY176479,CY176480,CY176481
>A/Athens/INS3_642/2011,Greece,2011,2,12,Human,pH1N1,CY176482,CY176483,CY176484,CY176485,CY176486,CY176487,CY176488,CY176489
>A/Athens/INS3_697/2011,Greece,2011,1,19,Human,pH1N1,CY176802,CY176803,CY176804,CY176805,CY176806,CY176807,CY176808,CY176809
>A/Athens/INS3_699/2011,Greece,2011,1,28,Human,pH1N1,CY176810,CY176811,CY176812,CY176813,CY176814,CY176815,CY176816,CY176817
>A/Athens/INS551/2011,Greece,2011,1,19,Human,pH1N1,CY129662,CY129663,CY129664,CY129665,CY129666,CY129667,CY129668,CY129669
>A/Athens/INS552/2011,Greece,2011,1,27,Human,pH1N1,CY129670,CY129671,CY129672,CY129673,CY129674,CY129675,CY129676,CY129677
>A/Athens/INS553/2011,Greece,2011,2,1,Human,pH1N1,CY129678,CY129679,CY129680,CY129681,CY129682,CY129683,CY129684,CY129685
>A/Athens/INS554/2011,Greece,2011,2,18,Human,pH1N1,CY129686,CY129687,CY129688,CY129689,CY129690,CY129691,CY129692,CY129693
>A/Athens/INS559/2011,Greece,2011,1,28,Human,pH1N1,CY129451,CY129452,CY129453,CY129454,CY129455,CY129456,CY129457,CY129458
>A/Athens/INS562/2011,Greece,2011,2,4,Human,pH1N1,CY129702,CY129703,CY129704,CY129705,CY129706,CY129707,CY129708,CY129709
>A/Athens/INS564/2011,Greece,2011,2,11,Human,pH1N1,CY129710,CY129711,CY129712,CY129713,CY129714,CY129715,CY129716,CY129717
>A/Athens/INS567/2011,Greece,2011,2,12,Human,pH1N1,CY129467,CY129468,CY129469,CY129470,CY129471,CY129472,CY129473,CY129474
>A/Athens/INS569/2011,Greece,2011,2,25,Human,pH1N1,CY129718,CY129719,CY129720,CY129721,CY129722,CY129723,CY129724,CY129725
>A/Athens/INS570/2011,Greece,2011,2,27,Human,pH1N1,CY129485,CY129486,CY129487,CY129488,CY129489,CY129490,CY129491,CY129492
>A/Athens/INS571/2011,Greece,2011,2,27,Human,pH1N1,CY129726,CY129727,CY129728,CY129729,CY129730,CY129731,CY129732,CY129733
>A/Bangkok/INS3_681/2012,Thailand,2012,9,21,Human,pH1N1,CY176746,CY176747,CY176748,CY176749,CY176750,CY176751,CY176752,CY176753
>A/Beijing/HZ01/2011,China,2011,1,14,Human,pH1N1,JF816658,JF316709,JF316715,JF816663,JF816662,JF816661,JF816660,JF816659
>A/Bonn/INS533/2011,Germany,2011,2,8,Human,pH1N1,CY129590,CY129591,CY129592,CY129593,CY129594,CY129595,CY129596,CY129597
>A/Boston/DOA08/2011,USA,2011,1,13,Human,pH1N1,CY134465,CY134466,CY134467,CY134468,CY134469,CY134470,CY134471,CY134472
>A/Boston/DOA14/2011,USA,2011,1,19,Human,pH1N1,CY111206,CY111207,CY111208,CY111209,CY111210,CY111211,CY111212,CY111213
>A/Boston/DOA2-099/2012,USA,2012,12,23,Human,pH1N1,CY148316,CY148317,CY148318,CY148319,CY148320,CY148321,CY148322,CY148323
>A/Boston/DOA21/2011,USA,2011,1,27,Human,pH1N1,CY111254,CY111255,CY111256,CY111257,CY111258,CY111259,CY111260,CY111261
>A/Boston/DOA22/2011,USA,2011,2,1,Human,pH1N1,CY111262,CY111263,CY111264,CY111265,CY111266,CY111267,CY111268,CY111269
>A/Boston/DOA28/2011,USA,2011,1,27,Human,pH1N1,CY134473,CY134474,CY134475,CY134476,CY134477,CY134478,CY134479,CY134480
>A/Boston/DOA30/2011,USA,2011,1,27,Human,pH1N1,CY134489,CY134490,CY134491,CY134492,CY134493,CY134494,CY134495,CY134496
>A/Boston/DOA34/2011,USA,2011,2,7,Human,pH1N1,CY134497,CY134498,CY134499,CY134500,CY134501,CY134502,CY134503,CY134504
>A/Boston/DOA35/2011,USA,2011,2,7,Human,pH1N1,CY111278,CY111279,CY111280,CY111281,CY111282,CY111283,CY111284,CY111285
>A/Boston/DOA39/2011,USA,2011,2,12,Human,pH1N1,CY134521,CY134522,CY134523,CY134524,CY134525,CY134526,CY134527,CY134528
>A/Boston/DOA40/2011,USA,2011,2,11,Human,pH1N1,CY111286,CY111287,CY111288,CY111289,CY111290,CY111291,CY111292,CY111293
>A/Boston/DOA43/2011,USA,2011,2,14,Human,pH1N1,CY134537,CY134538,CY134539,CY134540,CY134541,CY134542,CY134543,CY134544
>A/Boston/DOA44/2011,USA,2011,2,15,Human,pH1N1,CY111294,CY111295,CY111296,CY111297,CY111298,CY111299,CY111300,CY111301
